t,mu,totalDamage
7.56,-0.41,0.00038000561523437505
7.58,-0.36875,0.0003800407099609376
7.6,-0.19375,0.00038506197949218757
7.62,-0.11375,0.0003930056669921876
7.64,-0.13,0.0003930078125000001
7.66,-0.12375,0.00039300793457031254
7.68,-0.00375,0.0004135334658203126
7.7,0.11375,0.0004518459013671876
7.72,0.1175,0.0004533999921875001
7.74,0.00625,0.0004540884384765626
7.76,-0.085,0.0004575518750000001
7.78,-0.0425,0.0004575902578125001
7.8,0.0025,0.0004578868359375001
7.82,-0.0025,0.0004578868984375001
7.84,-0.04375,0.00045793630175781257
7.86,0.065,0.0004593383066406251
7.88,0.2925,0.0005617566738281251
7.9,0.38375,0.0006384593564453126
7.92,0.29375,0.0006388238564453126
7.94,0.0875,0.000651459408203125
7.96,-0.1225,0.000703332525390625
7.98,-0.22,0.0007484970390625001
8,-0.21,0.0007484975390625
8.02,-0.16375,0.0007485860283203125
8.04,-0.085,0.0007497272265625
8.06,0.045,0.0007578018515625
8.08,0.155,0.0007748642265625
8.1,0.15,0.0007748642890625001
8.12,-0.07875,0.0007812501669921875
8.14,-0.23375,0.0008089220361328126
8.16,-0.28125,0.0008382335439453127
8.18,-0.145,0.0008394982207031252
8.2,-0.0375,0.0008454746328125001
8.22,-0.05625,0.0008454779287109377
8.24,-0.12875,0.0008458545322265626
8.26,-0.0925,0.0008458783496093751
8.28,-0.04375,0.0008461615947265626
8.3,0.03875,0.0008553773427734376
8.32,0.08375,0.0008633069052734377
8.34,0.13875,0.0008760373427734376
8.36,0.22625,0.0009043482412109376
8.38,0.245,0.0009118629335937501
8.4,0.145,0.0009123629335937502
8.42,0.07125,0.0009144856083984377
8.44,0.0625,0.0009149021289062501
8.46,0.095,0.0009149192929687501
8.48,0.09,0.0009149193554687501
8.5,0.01125,0.0009182832021484376
8.52,-0.045,0.0009240917617187501
8.54,-0.07125,0.0009277119853515626
8.56,-0.0375,0.0009277312070312501
8.58,0.05125,0.0009286311181640626
8.6,0.15125,0.0009332195556640626
8.62,0.13,0.000933224353515625
8.64,0.00375,0.0009348240791015627
8.66,-0.055,0.0009376063964843752
8.68,0.01625,0.0009377872490234375
8.7,0.1425,0.0009414582636718752
8.72,0.165,0.000943078703125
8.74,0.14,0.000943086515625
8.76,0.1075,0.0009431737578125001
8.78,0.06625,0.0009435601865234375
8.8,-0.07125,0.0009496717392578125
8.82,-0.12125,0.0009584212314453127
8.84,0.0825,0.0009626504765625002
8.86,0.21,0.000976594693359375
8.88,0.1925,0.0009765973730468751
8.9,0.0525,0.000978548185546875
8.92,-0.0275,0.000983292935546875
8.94,0.0375,0.0009834302480468751
8.96,0.2525,0.000999542109375
8.98,0.24125,0.0009995428212890625
9,0.055,0.0010033939765625001
9.02,0.01625,0.0010061351455078124
9.04,0.03625,0.0010061391455078125
9.06,0.13125,0.0010068955830078124
9.08,0.21625,0.0010101351455078125
9.1,0.195,0.001010139943359375
9.12,0.10375,0.0010108470595703125
9.14,0.05625,0.0010121831455078124
9.16,-0.04375,0.0010205421611328125
9.18,-0.18125,0.0010483447685546874
9.2,-0.315,0.0011071149550781248
9.22,-0.335,0.0011221857519531247
9.24,-0.145,0.0011256152519531248
9.26,-0.00375,0.0011403592138671873
9.28,0.0425,0.001149083806640625
9.3,-0.04625,0.0011494333291015625
9.32,-0.20625,0.0011567797041015624
9.34,-0.23,0.001159201220703125
9.36,-0.20125,0.0011592131025390624
9.38,-0.08375,0.0011607652958984373
9.4,0.00375,0.0011655871611328124
9.42,-0.0075,0.0011655878730468749
9.44,0.02375,0.0011673720068359375
9.46,0.0925,0.0011814861523437498
9.48,0.0725,0.00118149015234375
9.5,-0.065,0.00118343964453125
9.52,-0.2225,0.00119711408984375
9.54,-0.28625,0.0012086522919921875
9.56,-0.28125,0.0012086523544921875
9.58,-0.17125,0.0012094127294921876
9.6,-0.05,0.001215245328125
9.62,-0.02375,0.0012176962373046875
9.64,0.0575,0.0012289617402343749
9.66,0.14125,0.0012507643818359373
9.68,0.13375,0.0012507645927734372
9.7,0.05875,0.0012510451396484375
9.72,-0.02375,0.0012530104443359373
9.74,0.06,0.0012533041582031249
9.76,0.14375,0.0012561115322265624
9.78,0.02,0.0012570590898437499
9.8,-0.05125,0.0012598189697265623
9.82,-0.12,0.0012652852929687498
9.84,-0.1275,0.0012660903535156249
9.86,-0.0925,0.0012661117910156248
9.88,-0.19375,0.0012753760869140623
9.9,-0.27875,0.0012938638525390625
9.92,-0.235,0.0012939057226562499
9.94,-0.10375,0.0012965435400390623
9.96,0.01625,0.0013067000400390624
9.98,0.01625,0.0013067000400390624
10,-0.13625,0.0013084733291015625
10.02,-0.25375,0.0013165415400390624
10.04,-0.24125,0.0013165425166015623
10.06,-0.2075,0.0013165910058593748
10.08,-0.21625,0.0013165913408203123
10.1,-0.0575,0.0013203214023437496
10.12,0.19625,0.0013713582744140623
10.14,0.31625,0.001434498055664062
10.16,0.24875,0.0014346518291015623
10.18,0.08875,0.0014403853291015622
10.2,-0.06875,0.0014630313681640622
10.22,-0.06875,0.0014630313681640622
10.24,0.14,0.0014675796718749998
10.26,0.21625,0.0014746059306640622
10.28,0.11875,0.0014750693603515623
10.3,0.07125,0.0014761302431640622
10.32,0.0175,0.0014785313984374997
10.34,0.07125,0.0014786090419921872
10.36,0.07125,0.0014786090419921872
10.38,-0.01875,0.0014812501552734373
10.4,0.03125,0.0014813126552734373
10.42,0.2225,0.0014885173984374998
10.44,0.355,0.0015308461308593748
10.46,0.275,0.0015311021308593747
10.48,0.0625,0.0015433587324218748
10.5,-0.0975,0.0015771722324218747
10.52,-0.0025,0.0015776009199218745
10.54,0.13625,0.0015835581728515622
10.56,0.10875,0.001583568571289062
10.58,0.11375,0.001583568633789062
10.6,0.25875,0.001599799596679687
10.62,0.3625,0.0016289336855468749
10.64,0.155,0.0016334007714843748
10.66,-0.14375,0.0016938068544921873
10.68,-0.345,0.0018064600761718745
10.7,-0.315,0.0018064735761718748
10.72,-0.08125,0.001815633836914062
10.74,0.0975,0.0018497822089843746
10.76,0.25875,0.001916497758789062
10.78,0.34375,0.001969823504882812
10.8,0.38,0.0019969991386718745
10.82,0.335,0.0019970447011718744
10.84,0.12375,0.002005412346679687
10.86,-0.14875,0.002070912192382812
10.88,-0.3325,0.0021778516777343744
10.9,-0.36875,0.002207081092773437
10.92,-0.38875,0.002224524280273437
10.94,-0.31875,0.002224695780273437
10.96,-0.14875,0.002231436280273437
10.98,0.05375,0.0022678464130859374
11,0.2375,0.00234732848046875
11.02,0.26875,0.0023666449599609373
11.04,0.19375,0.0023668558974609373
11.06,0.0625,0.0023710318007812495
11.08,0.0125,0.0023750581679687494
11.1,-0.0425,0.0023817213749999996
11.12,-0.10125,0.002391971459960937
11.14,-0.11875,0.002395737733398437
11.16,-0.1225,0.0023965905624999994
11.18,-0.1075,0.0023965922499999993
11.2,0.16625,0.002408628053710937
11.22,0.3275,0.0024681386464843746
11.24,0.245,0.002468419404296875
11.26,0.16125,0.002470436143554687
11.28,0.18,0.0024704394394531246
11.3,0.225,0.0024705656855468746
11.32,0.1725,0.0024706380371093744
11.34,0.065,0.0024774416757812495
11.36,0.0625,0.0024777025429687494
11.38,0.12125,0.002477803932617187
11.4,0.1,0.0024778087304687495
11.42,0.09875,0.0024778096279296866
11.44,0.1075,0.002477809962890624
11.46,0.10625,0.0024778099638671867
11.48,0.025,0.002482441499999999
11.5,-0.03625,0.0024926657998046867
11.52,-0.07375,0.002500902118164062
11.54,-0.1425,0.002520512679687499
11.56,-0.1925,0.0025389051796874994
11.58,-0.20125,0.002542514233398437
11.6,-0.16125,0.0025425462333984366
11.62,-0.17375,0.0025425472099609367
11.64,-0.22875,0.0025547209658203117
11.66,-0.10625,0.0025556400986328116
11.68,-0.00375,0.002560416278320312
11.7,-0.0425,0.002560445371093749
11.72,-0.2025,0.0025643417460937496
11.74,-0.395,0.0026694189414062496
11.76,-0.46625,0.002740344364257812
11.78,-0.3625,0.0027409027499999995
11.8,-0.20875,0.0027488812939453116
11.82,-0.06125,0.002773559426757812
11.84,-0.0725,0.0027735601386718743
11.86,-0.14125,0.002773815426757812
11.88,-0.2025,0.0027749685058593744
11.9,-0.335,0.0027838167109374996
11.92,-0.42375,0.0027973768095703117
11.94,-0.38875,0.0027973982470703117
11.96,-0.225,0.0028013022773437494
11.98,-0.05375,0.002823073856445312
12,0.01875,0.0028450211923828116
12.02,-0.1275,0.002846585267578124
12.04,-0.21875,0.002851719434570312
12.06,-0.2025,0.002851721580078124
12.08,-0.04375,0.002854399122070312
12.1,0.11,0.002897051572265624
12.12,0.08875,0.0028970563701171867
12.14,0.03375,0.0028972732333984366
12.16,0.04,0.002897273355468749
12.18,0.055,0.002897278031249999
12.2,0.05625,0.002897278928710937
12.22,0.04875,0.002897279139648437
12.24,0.06625,0.002897290819335937
12.26,0.03375,0.0028973079833984373
12.28,0.0225,0.002897421283203125
12.3,0.0975,0.002897632220703125
12.32,0.2475,0.0029838863515624994
12.34,0.38,0.0031050966269531247
12.36,0.36875,0.003105097338867187
12.38,0.22625,0.003106913879882812
12.4,0.13,0.0031129091269531247
12.42,0.1075,0.0031152140410156248
12.44,0.1525,0.0031152596035156246
12.46,0.05375,0.003122550624023437
12.48,-0.105,0.0031622298144531246
12.5,-0.20375,0.003204648262695312
12.52,-0.28875,0.003254729133789062
12.54,-0.1625,0.0032557352871093745
12.56,0.0325,0.003271305884765625
12.58,0.1775,0.0033054079589843743
12.6,0.23625,0.003327080696289062
12.62,0.30375,0.0033587295478515623
12.64,0.33625,0.003376799446289062
12.66,0.2325,0.0033773578320312496
12.68,0.13125,0.003381107008789062
12.7,0.08625,0.003384611946289062
12.72,0.12625,0.0033846439462890624
12.74,0.2475,0.0033867083222656243
12.76,0.235,0.0033867092988281245
12.78,0.1325,0.003387468759765625
12.8,0.0625,0.0033912494824218744
12.82,0.03875,0.0033941575029296867
12.84,0.02,0.0033968069218749996
12.86,0.02875,0.003396807256835937
12.88,-0.00875,0.003401524680664062
12.9,-0.0325,0.0034060635468749993
12.92,-0.0025,0.0034060770468749995
12.94,0.1075,0.0034074355468749996
12.96,0.14125,0.003408686221679687
12.98,0.1425,0.0034087432343749995
13,0.125,0.0034087459140624997
13.02,0.01125,0.003409873727539062
13.04,-0.05125,0.0034154450166015617
13.06,0.01125,0.003415567086914062
13.08,0.1475,0.0034193704843749994
13.1,0.25375,0.003429631329101562
13.12,0.3225,0.0034415494101562496
13.14,0.40375,0.0034982440185546866
13.16,0.38625,0.003498246698242187
13.18,0.2525,0.003499974058593749
13.2,0.10125,0.003512084338867187
13.22,0.16625,0.003512221651367187
13.24,0.3575,0.0035204975468749993
13.26,0.3825,0.0035232079960937496
13.28,0.235,0.003524812519531249
13.3,0.0225,0.0035481989746093743
13.32,-0.02125,0.0035588741455078116
13.34,-0.01625,0.0035588742080078116
13.36,-0.1,0.0035844082812499993
13.38,-0.1425,0.003601988970703124
13.4,-0.085,0.0036020840253906243
13.42,0.04375,0.0036052193896484366
13.44,0.015,0.0036052312714843745
13.46,-0.12875,0.003607785866210937
13.48,-0.24,0.0036603418222656246
13.5,-0.245,0.0036634741308593744
13.52,-0.17125,0.003663674696289062
13.54,-0.14125,0.003664032516601562
13.56,-0.18375,0.0036640708994140616
13.58,-0.23625,0.003664461204101562
13.6,-0.21375,0.0036644668994140622
13.62,-0.13375,0.003665019952148437
13.64,-0.11375,0.003665461999023437
13.66,-0.11375,0.003665461999023437
13.68,-0.1075,0.0036656313105468746
13.7,-0.16875,0.003665746202148437
13.72,-0.32125,0.003720948342773437
13.74,-0.4425,0.003833425621093749
13.76,-0.43125,0.0038334263330078115
13.78,-0.25625,0.003836656040039062
13.8,-0.08125,0.003856997465820312
13.82,-0.005,0.0038752957382812495
13.84,0.01875,0.0038824914501953117
