t,acc,,,,,,,,,,,,,,,,
7.12,-0.5,,,,,,,,,,,,,,,,
7.14,-1.6,,,,,,,,,,,,,,,,
7.16,-4.2,,,,,,,,,,,,,,,,
7.18,-3.8,,,,,,,,,,,,,,,,
7.20,0.4,,,,,,,,,,,,,,,,
7.22,4.9,,,,,,,,,,,,,,,,
7.24,2.3,,,,,,,,,,,,,,,,
7.26,-3.9,,,,,,,,,,,,,,,,
7.28,-1.5,,,,,,,,,,,,,,,,
7.30,6.0,,,,,,,,,,,,,,,,
7.32,6.8,,,,,,,,,,,,,,,,
7.34,1.4,,,,,,,,,,,,,,,,
7.36,-3.8,,,,,,,,,,,,,,,,
7.38,-5.5,,,,,,,,,,,,,,,,
7.40,4.2,,,,,,,,,,,,,,,,
7.42,9.6,,,,,,,,,,,,,,,,
7.44,3.0,,,,,,,,,,,,,,,,
7.46,-6.5,,,,,,,,,,,,,,,,
7.48,-14.0,,,,,,,,,,,,,,,,
7.50,-20.5,,,,,,,,,,,,,,,,
7.52,-28.9,,,,,,,,,,,,,,,,
7.54,-32.8,,,,,,,,,,,,,,,,
7.56,-29.5,,,,,,,,,,,,,,,,
7.58,-15.5,,,,,,,,,,,,,,,,
7.60,-9.1,,,,,,,,,,,,,,,,
7.62,-10.4,,,,,,,,,,,,,,,,
7.64,-9.9,,,,,,,,,,,,,,,,
7.66,-0.3,,,,,,,,,,,,,,,,
7.68,9.1,,,,,,,,,,,,,,,,
7.70,9.4,,,,,,,,,,,,,,,,
7.72,0.5,,,,,,,,,,,,,,,,
7.74,-6.8,,,,,,,,,,,,,,,,
7.76,-3.4,,,,,,,,,,,,,,,,
7.78,0.2,,,,,,,,,,,,,,,,
7.80,-0.2,,,,,,,,,,,,,,,,
7.82,-3.5,,,,,,,,,,,,,,,,
7.84,5.2,,,,,,,,,,,,,,,,
7.86,23.4,,,,,,,,,,,,,,,,
7.88,30.7,,,,,,,,,,,,,,,,
7.90,23.5,,,,,,,,,,,,,,,,
7.92,7.0,,,,,,,,,,,,,,,,
7.94,-9.8,,,,,,,,,,,,,,,,
7.96,-17.6,,,,,,,,,,,,,,,,
7.98,-16.8,,,,,,,,,,,,,,,,
8.00,-13.1,,,,,,,,,,,,,,,,
8.02,-6.8,,,,,,,,,,,,,,,,
8.04,3.6,,,,,,,,,,,,,,,,
8.06,12.4,,,,,,,,,,,,,,,,
8.08,12.0,,,,,,,,,,,,,,,,
8.10,-6.3,,,,,,,,,,,,,,,,
8.12,-18.7,,,,,,,,,,,,,,,,
8.14,-22.5,,,,,,,,,,,,,,,,
8.16,-11.6,,,,,,,,,,,,,,,,
8.18,-3.0,,,,,,,,,,,,,,,,
8.20,-4.5,,,,,,,,,,,,,,,,
8.22,-10.3,,,,,,,,,,,,,,,,
8.24,-7.4,,,,,,,,,,,,,,,,
8.26,-3.5,,,,,,,,,,,,,,,,
8.28,3.1,,,,,,,,,,,,,,,,
8.30,6.7,,,,,,,,,,,,,,,,
8.32,11.1,,,,,,,,,,,,,,,,
8.34,18.1,,,,,,,,,,,,,,,,
8.36,19.6,,,,,,,,,,,,,,,,
8.38,11.6,,,,,,,,,,,,,,,,
8.40,5.7,,,,,,,,,,,,,,,,
8.42,5.0,,,,,,,,,,,,,,,,
8.44,7.6,,,,,,,,,,,,,,,,
8.46,7.2,,,,,,,,,,,,,,,,
8.48,0.9,,,,,,,,,,,,,,,,
8.50,-3.6,,,,,,,,,,,,,,,,
8.52,-5.7,,,,,,,,,,,,,,,,
8.54,-3.0,,,,,,,,,,,,,,,,
8.56,4.1,,,,,,,,,,,,,,,,
8.58,12.1,,,,,,,,,,,,,,,,
8.60,10.4,,,,,,,,,,,,,,,,
8.62,0.3,,,,,,,,,,,,,,,,
8.64,-4.4,,,,,,,,,,,,,,,,
8.66,1.3,,,,,,,,,,,,,,,,
8.68,11.4,,,,,,,,,,,,,,,,
8.70,13.2,,,,,,,,,,,,,,,,
8.72,11.2,,,,,,,,,,,,,,,,
8.74,8.6,,,,,,,,,,,,,,,,
8.76,5.3,,,,,,,,,,,,,,,,
8.78,-5.7,,,,,,,,,,,,,,,,
8.80,-9.7,,,,,,,,,,,,,,,,
8.82,6.6,,,,,,,,,,,,,,,,
8.84,16.8,,,,,,,,,,,,,,,,
8.86,15.4,,,,,,,,,,,,,,,,
8.88,4.2,,,,,,,,,,,,,,,,
8.90,-2.2,,,,,,,,,,,,,,,,
8.92,3.0,,,,,,,,,,,,,,,,
8.94,20.2,,,,,,,,,,,,,,,,
8.96,19.3,,,,,,,,,,,,,,,,
8.98,4.4,,,,,,,,,,,,,,,,
9.00,1.3,,,,,,,,,,,,,,,,
9.02,2.9,,,,,,,,,,,,,,,,
9.04,10.5,,,,,,,,,,,,,,,,
9.06,17.3,,,,,,,,,,,,,,,,
9.08,15.6,,,,,,,,,,,,,,,,
9.10,8.3,,,,,,,,,,,,,,,,
9.12,4.5,,,,,,,,,,,,,,,,
9.14,-3.5,,,,,,,,,,,,,,,,
9.16,-14.5,,,,,,,,,,,,,,,,
9.18,-25.2,,,,,,,,,,,,,,,,
9.20,-26.8,,,,,,,,,,,,,,,,
9.22,-11.6,,,,,,,,,,,,,,,,
9.24,-0.3,,,,,,,,,,,,,,,,
9.26,3.4,,,,,,,,,,,,,,,,
9.28,-3.7,,,,,,,,,,,,,,,,
9.30,-16.5,,,,,,,,,,,,,,,,
9.32,-18.4,,,,,,,,,,,,,,,,
9.34,-16.1,,,,,,,,,,,,,,,,
9.36,-6.7,,,,,,,,,,,,,,,,
9.38,0.3,,,,,,,,,,,,,,,,
9.40,-0.6,,,,,,,,,,,,,,,,
9.42,1.9,,,,,,,,,,,,,,,,
9.44,7.4,,,,,,,,,,,,,,,,
9.46,5.8,,,,,,,,,,,,,,,,
9.48,-5.2,,,,,,,,,,,,,,,,
9.50,-17.8,,,,,,,,,,,,,,,,
9.52,-22.9,,,,,,,,,,,,,,,,
9.54,-22.5,,,,,,,,,,,,,,,,
9.56,-13.7,,,,,,,,,,,,,,,,
9.58,-4.0,,,,,,,,,,,,,,,,
9.60,-1.9,,,,,,,,,,,,,,,,
9.62,4.6,,,,,,,,,,,,,,,,
9.64,11.3,,,,,,,,,,,,,,,,
9.66,10.7,,,,,,,,,,,,,,,,
9.68,4.7,,,,,,,,,,,,,,,,
9.70,-1.9,,,,,,,,,,,,,,,,
9.72,4.8,,,,,,,,,,,,,,,,
9.74,11.5,,,,,,,,,,,,,,,,
9.76,1.6,,,,,,,,,,,,,,,,
9.78,-4.1,,,,,,,,,,,,,,,,
9.80,-9.6,,,,,,,,,,,,,,,,
9.82,-10.2,,,,,,,,,,,,,,,,
9.84,-7.4,,,,,,,,,,,,,,,,
9.86,-15.5,,,,,,,,,,,,,,,,
9.88,-22.3,,,,,,,,,,,,,,,,
9.90,-18.8,,,,,,,,,,,,,,,,
9.92,-8.3,,,,,,,,,,,,,,,,
9.94,1.3,,,,,,,,,,,,,,,,
9.96,1.3,,,,,,,,,,,,,,,,
9.98,-10.9,,,,,,,,,,,,,,,,
10.00,-20.3,,,,,,,,,,,,,,,,
10.02,-19.3,,,,,,,,,,,,,,,,
10.04,-16.6,,,,,,,,,,,,,,,,
10.06,-17.3,,,,,,,,,,,,,,,,
10.08,-4.6,,,,,,,,,,,,,,,,
10.10,15.7,,,,,,,,,,,,,,,,
10.12,25.3,,,,,,,,,,,,,,,,
10.14,19.9,,,,,,,,,,,,,,,,
10.16,7.1,,,,,,,,,,,,,,,,
10.18,-5.5,,,,,,,,,,,,,,,,
10.20,-5.5,,,,,,,,,,,,,,,,
10.22,11.2,,,,,,,,,,,,,,,,
10.24,17.3,,,,,,,,,,,,,,,,
10.26,9.5,,,,,,,,,,,,,,,,
10.28,5.7,,,,,,,,,,,,,,,,
10.30,1.4,,,,,,,,,,,,,,,,
10.32,5.7,,,,,,,,,,,,,,,,
10.34,5.7,,,,,,,,,,,,,,,,
10.36,-1.5,,,,,,,,,,,,,,,,
10.38,2.5,,,,,,,,,,,,,,,,
10.40,17.8,,,,,,,,,,,,,,,,
10.42,28.4,,,,,,,,,,,,,,,,
10.44,22.0,,,,,,,,,,,,,,,,
10.46,5.0,,,,,,,,,,,,,,,,
10.48,-7.8,,,,,,,,,,,,,,,,
10.50,-0.2,,,,,,,,,,,,,,,,
10.52,10.9,,,,,,,,,,,,,,,,
10.54,8.7,,,,,,,,,,,,,,,,
10.56,9.1,,,,,,,,,,,,,,,,
10.58,20.7,,,,,,,,,,,,,,,,
10.60,29.0,,,,,,,,,,,,,,,,
10.62,12.4,,,,,,,,,,,,,,,,
10.64,-11.5,,,,,,,,,,,,,,,,
10.66,-27.6,,,,,,,,,,,,,,,,
10.68,-25.2,,,,,,,,,,,,,,,,
10.70,-6.5,,,,,,,,,,,,,,,,
10.72,7.8,,,,,,,,,,,,,,,,
10.74,20.7,,,,,,,,,,,,,,,,
10.76,27.5,,,,,,,,,,,,,,,,
10.78,30.4,,,,,,,,,,,,,,,,
10.80,26.8,,,,,,,,,,,,,,,,
10.82,9.9,,,,,,,,,,,,,,,,
10.84,-11.9,,,,,,,,,,,,,,,,
10.86,-26.6,,,,,,,,,,,,,,,,
10.88,-29.5,,,,,,,,,,,,,,,,
10.90,-31.1,,,,,,,,,,,,,,,,
10.92,-25.5,,,,,,,,,,,,,,,,
10.94,-11.9,,,,,,,,,,,,,,,,
10.96,4.3,,,,,,,,,,,,,,,,
10.98,19.0,,,,,,,,,,,,,,,,
11.00,21.5,,,,,,,,,,,,,,,,
11.02,15.5,,,,,,,,,,,,,,,,
11.04,5.0,,,,,,,,,,,,,,,,
11.06,1.0,,,,,,,,,,,,,,,,
11.08,-3.4,,,,,,,,,,,,,,,,
11.10,-8.1,,,,,,,,,,,,,,,,
11.12,-9.5,,,,,,,,,,,,,,,,
11.14,-9.8,,,,,,,,,,,,,,,,
11.16,-8.6,,,,,,,,,,,,,,,,
11.18,13.3,,,,,,,,,,,,,,,,
11.20,26.2,,,,,,,,,,,,,,,,
11.22,19.6,,,,,,,,,,,,,,,,
11.24,12.9,,,,,,,,,,,,,,,,
11.26,14.4,,,,,,,,,,,,,,,,
11.28,18.0,,,,,,,,,,,,,,,,
11.30,13.8,,,,,,,,,,,,,,,,
11.32,5.2,,,,,,,,,,,,,,,,
11.34,5.0,,,,,,,,,,,,,,,,
